time,h_sigma,cycle,spot,dh_fit_dx,delta_time,rms_misfit,segment_id,dh_fit_dy,w_surface_window_final,n_fit_photons,rgt,pflags,h_mean,distance,gt,geometry,lon,lat,x,y,snow_depth,geometry_2
45:28.2,0.028160065,11,1,-0.01106758,104039128.2,0.189515275,245082,0,3,46,387,0,773.3526376,4914797.736,60,POINT (-122.05804177752452 44.15232237856508),-122.0580418,44.15232238,575327.2896,4889222.514,-0.576073335,
45:27.9,0.05716116,11,2,-0.018057797,104039127.9,0.208558634,245082,0,3,14,387,0,772.6202402,4914797.736,50,POINT (-122.05914029811301 44.15224594550284),-122.0591403,44.15224595,575239.5391,4889213.019,-0.799986815,
45:28.2,0.062181683,11,3,0.006041044,104039128.2,0.207443903,245082,0,3,14,387,0,603.6984259,4914797.736,40,POINT (-122.09800776244377 44.14953872124637),-122.0980078,44.14953872,572134.6391,4888877.502,-0.905333913,
45:28.2,0.031283849,11,1,-0.0287044,104039128.2,0.195203275,245083,0,3,39,387,0,773.0163027,4914812.777,60,POINT (-122.05806008634225 44.152457107957616),-122.0580601,44.15245711,575325.6541,4889237.461,-0.401543981,
45:27.9,0.071878625,11,2,-0.045086409,104039127.9,0.227278841,245083,0,3,12,387,0,772.0859096,4914812.777,50,POINT (-122.05915832970301 44.152380696585325),-122.0591583,44.1523807,575237.9259,4889227.969,-1.068753439,
45:28.2,0.074381589,11,3,-0.031920671,104039128.2,0.249132137,245084,0,3,13,387,0,603.4812901,4914827.818,40,POINT (-122.09804704817495 44.14980799972053),-122.098047,44.149808,572131.1693,4888907.377,-0.484652303,
45:28.2,0.02692576,11,1,-0.001198258,104039128.2,0.182358859,245084,0,3,47,387,0,772.7992483,4914827.818,60,POINT (-122.05807832188597 44.15259184264208),-122.0580783,44.15259184,575324.0244,4889252.41,-0.570746806,
45:28.2,0.029832499,11,1,-0.034009095,104039128.2,0.229076587,245084,0,3,59,387,0,772.5546942,4914842.859,60,POINT (-122.05809647378504 44.152726585602295),-122.0580965,44.15272659,575322.4014,4889267.359,-0.773308759,
45:27.9,0.062448959,11,2,-0.052075571,104039127.9,0.229981031,245084,0,3,14,387,0,771.0140589,4914842.859,50,POINT (-122.05919433681518 44.152650199723354),-122.0591943,44.1526502,575234.704,4889257.87,-0.819193022,
45:28.2,0.031067937,11,1,-0.021907369,104039128.2,0.252053353,245085,0,3,66,387,0,772.1458973,4914857.859,60,POINT (-122.05811447159032 44.15286096668209),-122.0581145,44.15286097,575320.7912,4889282.269,-0.24930537,
45:27.9,0.078496083,11,2,-0.024458155,104039127.9,0.24775962,245085,0,3,10,387,0,770.4037996,4914857.859,50,POINT (-122.05921227528448 44.1527845849632),-122.0592123,44.15278458,575233.0988,4889272.78,-0.785409353,
