time,distance,gt,segment_id,w_surface_window_final,cycle,h_mean,rgt,dh_fit_dy,pflags,h_sigma,rms_misfit,spot,dh_fit_dx,delta_time,n_fit_photons,geometry,lon,lat,x,y,snow_depth
2021-09-21 08:36:08.315845232,15117617.837306522,10,754789,3.0,12,1668.9227262486502,1370,0.0,0,0.04362593091666918,0.14659242885733212,6,0.003991165909539518,117448568.31584524,13,POINT (-121.86641399706741 44.500589915755405),-121.86641399706741,44.500589915755405,590116.740422515,4928099.594243888,0.0639616002126786
2021-09-21 08:36:08.318662384,15117637.876264403,10,754790,3.0,12,1669.0462913323647,1370,0.0,0,0.07164313456795715,0.21562435469262584,6,0.006569717454091517,117448568.31866239,12,POINT (-121.86643802568274 44.50041039451953),-121.86643802568274,44.50041039451953,590115.1067736051,4928079.626894031,-0.15402605044778284
2021-09-21 08:36:08.321482080,15117657.915222475,10,754791,3.0,12,1669.5751281006603,1370,0.0,0,0.05871217980238274,0.2025624616248113,6,0.03818542705198524,117448568.32148208,15,POINT (-121.86646230854463 44.50023089193027),-121.86646230854463,44.50023089193027,590113.4528713265,4928059.661336265,0.02520134284782216
2021-09-21 08:36:08.338438464,15117778.148974929,10,754797,4.512090820609714,12,1686.7838266138212,1370,0.0,0,0.13531468770396243,0.4213231057944808,6,0.12666383191687913,117448568.33843847,10,POINT (-121.86661162354281 44.49915413020138),-121.86661162354281,44.49915413020138,590103.241184846,4927939.89221864,-0.4240591283662525
2021-09-21 08:36:08.341264144,15117798.18793434,10,754798,4.0029997684257905,12,1689.2492353615573,1370,0.0,0,0.12134432284712784,0.4298907415263683,6,0.1144307349410365,117448568.34126414,13,POINT (-121.86663623131487 44.49897464967688),-121.86663623131487,44.49897464967688,590101.5613283511,4927919.928761992,-0.18191698219266073
2021-09-21 08:36:08.341802768,15117918.421694834,30,754804,3.0,12,1573.565136765093,1370,0.0,0,0.06243261118654166,0.22172961182306963,4,0.03046299892396398,117448568.34180278,15,POINT (-121.90689719130388 44.5006563296736),-121.90689719130388,44.5006563296736,586898.3397617511,4928063.132933876,-0.5524169458444703
2021-09-21 08:36:08.344087888,15117818.226893945,10,754799,5.821204029978494,12,1691.107137673877,1370,0.0,0,0.23066384146284347,0.4781280851788998,6,0.086896768430897,117448568.34408788,10,POINT (-121.86666053955517 44.49879514940635),-121.86666053955517,44.49879514940635,590099.905302053,4927899.963443381,0.014242166064605044
2021-09-21 08:36:08.344624256,15117938.460655587,30,754805,3.0,12,1574.0384550117615,1370,0.0,0,0.032102788096904415,0.13611796400473183,4,0.012409502776241865,117448568.34462425,19,POINT (-121.90692102813307 44.5004768053415),-121.90692102813307,44.5004768053415,586896.7114875452,4928043.166395354,-0.13012408980102919
2021-09-21 08:36:08.349731792,15117858.304813726,10,754801,3.911119791155553,12,1693.4309550823907,1370,0.0,0,0.13701701496366747,0.4469497177900525,6,0.05476955965715291,117448568.34973179,11,POINT (-121.86670869638112 44.4984361158982),-121.86670869638112,44.4984361158982,590096.6298045958,4927860.029654466,-0.14900097229678977
2021-09-21 08:36:08.355893040,15118018.616500508,30,754809,3.0,12,1573.819439741353,1370,0.0,0,0.08085956579932783,0.2472969526966214,4,-0.033188049659145236,117448568.35589305,10,POINT (-121.90701539427187 44.49975864054528),-121.90701539427187,44.49975864054528,586890.2763680391,4927963.293801801,-0.2535583055218922
2021-09-21 08:36:08.358707648,15118038.655462217,30,754810,3.0,12,1573.157312035756,1370,0.0,0,0.07596918677048602,0.2814190564225802,4,-0.03975019676346747,117448568.35870765,14,POINT (-121.90703894068838 44.49957909624766),-121.90703894068838,44.49957909624766,586888.6711486637,4927943.325360078,-0.0327514408065781
2021-09-21 08:36:08.369470304,15117998.577538991,10,754808,4.613283072278805,12,1689.9764900636535,1370,0.0,0,0.15192646308350585,0.5783951752564946,6,-0.1465321786391538,117448568.3694703,16,POINT (-121.86687804074656 44.497179558940374),-121.86687804074656,44.497179558940374,590085.1018306956,4927720.267253876,-0.11835856915899967
2021-09-21 08:36:08.369963536,15118118.811310964,30,754814,3.465796184247307,12,1567.3514024852757,1370,0.0,0,0.1420566137660422,0.4695352777129268,4,-0.1337807788387888,117448568.36996354,16,POINT (-121.90713420749202 44.49886099322683),-121.90713420749202,44.49886099322683,586882.1640875107,4927863.458694119,-0.07498911628681526
2021-09-21 08:36:08.372288320,15118018.616500508,10,754809,5.7162034399977975,12,1687.858895414629,1370,0.0,0,0.13938506595010186,0.5868478134764108,6,-0.07696429023483553,117448568.37228832,18,POINT (-121.86690241340054 44.49700006446633),-121.86690241340054,44.49700006446633,590083.4405472357,4927700.302519964,0.7021571333789325
2021-09-21 08:36:08.372778576,15118138.85027363,30,754815,3.8179259542749597,12,1564.5714693980594,1370,0.0,0,0.1338264445604175,0.40938145274906235,4,-0.14778920656305417,117448568.37277858,14,POINT (-121.90715827753479 44.498681484856405),-121.90715827753479,44.498681484856405,586880.5171245658,4927843.493692322,-0.44110384412806525
2021-09-21 08:36:08.375105952,15118038.655462217,10,754810,3.598654911243787,12,1686.4987857112048,1370,0.0,0,0.10015210706926483,0.403994058959225,6,-0.08004049606257269,117448568.37510595,17,POINT (-121.86692682837868 44.49682057162403),-121.86692682837868,44.49682057162403,590081.7758836104,4927680.3379218485,0.6157290705798459
2021-09-21 08:36:08.377922960,15118058.694424117,10,754811,4.226975569423172,12,1685.3879003886766,1370,0.0,0,0.16971421280337876,0.5217316114189985,6,-0.04164450340736536,117448568.37792295,14,POINT (-121.86695123509296 44.49664107725607),-121.86695123509296,44.49664107725607,590080.1118665304,4927660.373164564,0.5431738261765986
2021-09-21 08:36:08.378412976,15118178.928199535,30,754817,3.0,12,1561.4029249400862,1370,0.0,0,0.06790836755901027,0.2505798870340235,4,-0.0687380938735842,117448568.37841298,14,POINT (-121.90720673984079 44.49832249013781),-121.90720673984079,44.49832249013781,586877.1975115367,4927803.565795955,0.1641554088362227
2021-09-21 08:36:08.380739008,15118078.733386207,10,754812,3.0,12,1685.391897654624,1370,0.0,0,0.05800771010383523,0.18176676712183087,6,0.019148086803436826,117448568.380739,10,POINT (-121.86697557442176 44.49646157903092),-121.86697557442176,44.49646157903092,590078.4531999257,4927640.408054281,-0.3505339860009826
2021-09-21 08:36:08.381232784,15118198.967162775,30,754818,3.0,12,1560.5525466005538,1370,0.0,0,0.041662653417770715,0.1583918708965869,4,-0.02803366904426774,117448568.38123278,15,POINT (-121.90723108613432 44.49814300070855),-121.90723108613432,44.49814300070855,586875.5285204849,4927783.602608023,-0.6312912900712035
2021-09-21 08:36:08.384053744,15118219.006126205,30,754819,3.0,12,1560.0142979163827,1370,0.0,0,0.041595569257725735,0.163980137194278,4,-0.024762267893835954,117448568.38405374,17,POINT (-121.90725544469173 44.497963512112854),-121.90725544469173,44.497963512112854,586873.8585404711,4927763.639500834,-0.20530657580479783
2021-09-21 08:36:08.386875824,15118239.045089828,30,754820,3.0,12,1559.4344518783494,1370,0.0,0,0.04987178908499367,0.2095722242501942,4,-0.03918067938178993,117448568.38687582,18,POINT (-121.90727985896328 44.497784027309635),-121.90727985896328,44.497784027309635,586872.1841127508,4927743.676756883,-0.33874148102563595
2021-09-21 08:36:08.389183584,15118138.85027363,10,754815,3.0,12,1687.1286674915245,1370,0.0,0,0.12149836979194309,0.33819845370604845,6,0.04003734501765166,117448568.38918358,10,POINT (-121.86704806376915 44.49592304757648),-121.86704806376915,44.49592304757648,590073.5192088416,4927580.509227762,0.4202934680870385
2021-09-21 08:36:08.389697904,15118259.084053641,30,754821,3.6888750954234784,12,1557.3051373462245,1370,0.0,0,0.09630079443603615,0.3375590220764612,4,-0.14265981892637214,117448568.38969791,13,POINT (-121.90730446266592 44.497604555517086),-121.90730446266592,44.497604555517086,586870.4945929239,4927723.715257996,-0.28739195065054446
2021-09-21 08:36:08.397636352,15118198.967162775,10,754818,4.3407964126327645,12,1693.8309223712522,1370,0.0,0,0.13500984270864286,0.4676478476628835,6,0.16852932640152218,117448568.39763635,12,POINT (-121.86712161047366 44.49538459072066),-121.86712161047366,44.49538459072066,590068.5009243216,4927520.617533028,-1.9683940349978002
2021-09-21 08:36:08.406106528,15118259.084053641,10,754821,3.0,12,1704.0779244994035,1370,0.0,0,0.0871609864414369,0.25760610864214745,6,0.08549873533089425,117448568.40610653,11,POINT (-121.86719733748569 44.49484628345884),-121.86719733748569,44.49484628345884,590063.3089484026,4927460.740063363,-0.07307647715902021
2021-09-21 08:36:08.408933216,15118279.123017646,10,754822,3.0,12,1705.8509755693526,1370,0.0,0,0.09736501391315412,0.25908310823577446,6,0.09644667831735632,117448568.40893322,12,POINT (-121.86722269166508 44.49466685326382),-121.86722269166508,44.49466685326382,590061.5693627674,4927440.781403517,0.3517079912276131
2021-09-21 08:36:08.410329760,15118519.59060063,50,754834,3.2427849308975993,12,1131.2286762741387,1370,0.0,1,0.0,0.0,2,0.12488597276854563,117448568.41032976,43,POINT (-121.94782430135581 44.49802179473983),-121.94782430135581,44.49802179473983,583648.5192788589,4927727.795930728,0.6872944382012065
2021-09-21 08:36:08.414589440,15118319.20094623,10,754824,3.0,12,1707.442913194355,1370,0.0,0,0.06726659003910272,0.22884432070168592,6,0.008222639357802208,117448568.41458943,12,POINT (-121.86727279602394 44.494307956206576),-121.86727279602394,44.494307956206576,590058.1382296572,4927400.860680065,-0.17903504783248536
2021-09-21 08:36:08.417418064,15118339.23991081,10,754825,3.0,12,1707.4501560546967,1370,0.0,0,0.06044206645619573,0.23396165586783946,6,-0.0170844318147374,117448568.41741806,15,POINT (-121.86729745710761 44.49412848025635),-121.86729745710761,44.49412848025635,590056.4537801142,4927380.897705112,0.08064921875916298
2021-09-21 08:36:08.420246544,15118359.27887558,10,754826,3.0,12,1707.0178513236795,1370,0.0,0,0.10383433693453166,0.35081641404463065,6,-0.03158427003620723,117448568.42024654,12,POINT (-121.86732172532088 44.49394897819811),-121.86732172532088,44.49394897819811,590054.8005934963,4927360.932264158,-0.18563988725804847
2021-09-21 08:36:08.423074688,15118379.31784054,10,754827,4.299633441338521,12,1706.2549718832943,1370,0.0,0,0.15066008153744584,0.4409215403874422,6,-0.05450537004999845,117448568.42307469,10,POINT (-121.86734559826616 44.49376944775099),-121.86734559826616,44.49376944775099,590053.1788642216,4927340.964106466,-0.0016199135807255516
2021-09-21 08:36:08.431551552,15118439.434736574,10,754830,3.0,12,1703.5573276040086,1370,0.0,0,0.04903839549900471,0.18661041313621568,6,-0.006266116079704176,117448568.43155155,17,POINT (-121.86741536305772 44.49323072898463),-121.86741536305772,44.49323072898463,590048.4612072218,4927281.047528682,0.4464877602586057
2021-09-21 08:36:08.434373872,15118459.4737023,10,754831,3.0,12,1703.5722153326074,1370,0.0,0,0.0444647001661437,0.19821256555330144,6,0.009368400923788656,117448568.43437387,20,POINT (-121.86743864365671 44.49305115806227),-121.86743864365671,44.49305115806227,590046.8865864926,4927261.075532219,0.030223145107356686
2021-09-21 08:36:08.437193952,15118479.512668218,10,754832,3.0,12,1703.7257557811163,1370,0.0,0,0.06080974177433774,0.24795083659680353,6,0.004315869531065886,117448568.43719395,17,POINT (-121.86746204826673 44.492871594252975),-121.86746204826673,44.492871594252975,590045.302082725,4927241.104190392,0.03837785142877692
2021-09-21 08:36:08.440012128,15118499.551634328,10,754833,3.0,12,1704.3347050020038,1370,0.0,0,0.08012090314997217,0.1532761972572165,6,0.048104147036653444,117448568.44001213,10,POINT (-121.8674855705551 44.49269203984972),-121.8674855705551,44.49269203984972,590043.7081958016,4927221.133764886,-0.7380489042461704
2021-09-21 08:36:08.454069696,15118599.74646775,10,754838,4.24911723408102,12,1698.8324756282575,1370,0.0,0,0.1324662788183125,0.519124329921584,6,-0.16489704739028355,117448568.4540697,16,POINT (-121.86760721511016 44.49179454575423),-121.86760721511016,44.49179454575423,590035.4174783764,4927121.308083339,1.096391643882498
2021-09-21 08:36:08.456877760,15118619.785435008,10,754839,3.0,12,1696.2797517999904,1370,0.0,0,0.08816843050394546,0.3726549764328295,6,-0.07883345609804415,117448568.45687775,18,POINT (-121.86763180462117 44.49161506493565),-121.86763180462117,44.49161506493565,590033.7385487525,4927101.344663028,0.9248934015529358
2021-09-21 08:36:08.459686720,15118639.824402457,10,754840,3.0914669811710143,12,1695.4170556761135,1370,0.0,0,0.09802191491633817,0.39188479400650106,6,-0.01694525946728298,117448568.45968673,16,POINT (-121.86765656628967 44.491435595631614),-121.86765656628967,44.491435595631614,590032.0459003395,4927081.382333319,0.2177148558009776
2021-09-21 08:36:08.462495472,15118659.863370098,10,754841,3.0,12,1695.2006981481627,1370,0.0,0,0.07375336225753065,0.24040750368924824,6,-0.008112047792607768,117448568.46249548,11,POINT (-121.86768133892492 44.491256127759925),-121.86768133892492,44.491256127759925,590030.352364786,4927061.420151844,-0.4616553674622992
